id;datum_prometa;kolicina;cena;vrednost;dokument;smer
1;2023-02-10;83036;20055;11682;panel panel;false
2;2023-02-11;59758;6865;67237;foreground;false
3;2023-02-10;2491;11438;37028;Central neural;true
4;2023-02-11;46925;47903;86918;Consultant;true
5;2023-02-10;55676;37433;16444;Practical Producer Track;true
6;2023-02-11;65981;61042;19296;Plaza Dollar;true
7;2023-02-10;4045;94012;85259;SSL schemas;false
8;2023-02-10;31261;4054;67919;Consultant;false
9;2023-02-10;37455;73703;52348;deploy Games Granite;true
10;2023-02-10;8993;59646;32536;Product Pizza;true
