id;naziv;opis;pakovanje
1;24/7 monetize Mississippi;Tanzania;connect Thailand
2;Senior Dale Tactics;Administrator online Borders;Pants Avon generation
3;Group Metrics;Data;card SAS Creative
4;Turkish Accounts;Legacy;pixel invoice
5;Mobility Director;Checking PNG Radial;SMTP Fresh Human
6;sky;Sports Salad navigate;Cotton
7;Falkland Kids;Lodge Lodge;Steel GB
8;needs-based generate payment;Grocery;Zloty connecting magenta
9;Sports Fully-configurable efficient;solutions Renminbi;Christmas maximize Montana
10;Maryland Markets Metal;Checking Liaison uniform;throughput optical
