id;pocetno_stanje_kolicina;promet_ulaza_kolicina;promet_izlaza_kolicina;ukupna_kolicina;pocetno_stanje_vrednosti;promet_ulaza_vrednosti;promet_izlaza_vrednosti;ukupna_vrednost
1;30488;17500;62133;74429;57965;63919;93663;89322
2;59220;39086;4697;75516;29127;51334;88856;70496
3;21222;67838;65038;6579;13318;15833;94964;85768
4;60903;14392;99437;69026;28671;4878;58280;40021
5;61030;397;31638;42011;38229;39394;33152;95821
6;89346;99390;12980;10097;7895;45379;54986;89039
7;47249;36942;13316;82856;57990;1738;65606;52048
8;85343;13024;88629;59027;51206;84561;99485;86898
9;60192;97063;94067;23645;11303;32586;39072;37976
10;86324;74308;9155;46208;89652;53315;64570;37286
