id;datum_prometa;kolicina;cena;vrednost;dokument;smer
1;2023-02-11;13989;72447;36057;Executive;Rial generating architecture
2;2023-02-11;86446;69841;13120;flexibility Metal value-added;Bedfordshire ivory
3;2023-02-11;77990;97971;4085;withdrawal Tools;Carolina B2B
4;2023-02-11;98841;77161;74173;pink Pennsylvania;Directives
5;2023-02-11;469;72390;12605;impactful;Bedfordshire
6;2023-02-11;44270;18149;21308;withdrawal toolset;Gloves
7;2023-02-10;3257;61893;98198;Handmade;Incredible
8;2023-02-11;76470;64432;34400;invoice red;Savings Product
9;2023-02-11;90256;5327;23927;Soap Response heuristic;payment Cuba
10;2023-02-10;78838;99306;76030;Corporate;hack
